Feature;Description;Tag
other interventions;photopheresis;Yes
other interventions;photoradiation therapy;Yes
psychologic interventions;phototherapy;Yes
other interventions;phragmites communis;Yes
other interventions;phrynosoma cornuta;Yes
other interventions;phyllanthus amarus;Yes
other interventions;phyllanthus emblica;Yes
other interventions;phyllanthus niruri;Yes
other interventions;phyllanthus urinaria;Yes
other interventions;phyllostachys bambusoides;Yes
other interventions;phyllostachys nigra;Yes
other interventions;physeter catodon   ;Yes
other interventions;physeter macrocephalus;Yes
physical interventions;physical activity;Yes
physical interventions;physical endurance;Yes
physical interventions;physical health intervention;Yes
physical interventions;physical intervention;Yes
physical interventions;physical rehabilitation;Yes
physical interventions;physical restraint;Yes
physical interventions;physical therapy;Yes
physical interventions;physical training program;Yes
psychologic interventions;physician  relations;Yes
psychologic interventions;physician behavior;Yes
psychologic interventions;physiotherapy;Yes
nutritional interventions;phytoestrogen;Yes
nutritional interventions;phytoestrogens;Yes
other interventions;phytolacca acinosa;Yes
other interventions;phytotherapies;Yes
other interventions;phytotherapy;Yes
other interventions;pi pa ye;Yes
other interventions;picrorhiza kurrosa;Yes
physical interventions;pilate;Yes
other interventions;pilea salwinensis;Yes
other interventions;pilea scripta;Yes
other interventions;pilea symmeria;Yes
other interventions;pilocarpus jaborandi;Yes
drug;pimasertib;No
other interventions;pimpinella anisum ;Yes
drug;pineal hormone melatonin;No
other interventions;pinella ternata;Yes
other interventions;pinus koraiensis;Yes
other interventions;piper kadsura;Yes
other interventions;piper longum;Yes
other interventions;piper methysticum;Yes
other interventions;piper nigrum;Yes
other interventions;piper retrofractum;Yes
drug;piperacillin tazobactam;No
other interventions;piperine;Yes
drug;pipobroman;No
drug;pirarubicin;No
other interventions;pistacia lentiscus;Yes
other interventions;pittosporum tobira;Yes
other interventions;placebo product;Yes
other interventions;placenta homonis;Yes
other interventions;plant;Yes
other interventions;plantago;Yes
other interventions;plantago major;Yes
other interventions;plants;Yes
other interventions;plants medicinal;Yes
other interventions;plastrum testudinis;Yes
other interventions;platycodon grandiflorum;Yes
psychologic interventions;play therapy;Yes
other interventions;plumbago zeylanica;Yes
physical interventions;plyometric exercise;Yes
other interventions;podophyllum emodi;Yes
physical interventions;polarity therapy;Yes
other interventions;polianthes tuberosa;Yes
nutritional interventions;policosonal;Yes
other interventions;polistes mandarinus;Yes
drug;polycarbophil based vaginal moisturizer;No
other interventions;polygala;Yes
other interventions;polygala tenuifolia;Yes
other interventions;polygonatum chinense;Yes
other interventions;polygonatum officinale;Yes
other interventions;polygonatum sibiricum;Yes
other interventions;polygonatum thunbergii;Yes
other interventions;polygonum aviculare;Yes
other interventions;polygonum bistorta;Yes
other interventions;polygonum chinenese;Yes
other interventions;polygonum cuspidatum;Yes
other interventions;polygonum flaccidum;Yes
other interventions;polygonum multiflorum;Yes
other interventions;polygonum orientalis;Yes
other interventions;polygonum reynoutria ;Yes
other interventions;polyherbal preparation;Yes
other exclusion words;polymeric;No
nutritional interventions;polyphenol;Yes
other interventions;polypodium fortunei;Yes
other interventions;polyporus mylittae;Yes
other interventions;polyrhachis lamellidens;Yes
nutritional interventions;pomegranate;Yes
other interventions;pomi t;Yes
other interventions;poncirus trifoliata;Yes
other interventions;poria cocos;Yes
other interventions;porphyra tenera;Yes
other interventions;portulacea oleracea;Yes
radiotherapy;positron;No
physical interventions;postural drainage;Yes
physical interventions;posturography;Yes
nutritional interventions;potatoes;Yes
nutritional interventions;poultry;Yes
physical interventions;power yoga;Yes
other interventions;pranic heal;Yes
psychologic interventions;prayer;Yes
nutritional interventions;prebiotic;Yes
nutritional interventions;prebiotics;Yes
drug;prednimustine;No
drug;prednisone;No
nutritional interventions;preferences food;Yes
other interventions;premna microphylla;Yes
physical interventions;prenatal care;Yes
psychologic interventions;prenatal education;Yes
physical interventions;preparative fast;Yes
physical interventions;pressure therapy;Yes
psychologic interventions;prevention health strategy;Yes
physical interventions;prevention intervention;Yes
physical interventions;preventive exercise program;Yes
physical interventions;primary prevention action;Yes
other interventions;prinsepia uniflora;Yes
nutritional interventions;probiotics;Yes
psychologic interventions;problem adaptation therapy;Yes
drug;procarbazine;No
medical examination;proctoscopy;No
medical examination;prognosis;No
medical examination;prognostic;No
physical interventions;progressive exercise program;Yes
physical interventions;progressive muscle relaxation;Yes
physical interventions;progressive relaxation;Yes
physical interventions;progressive resistance exercise train;Yes
physical interventions;prolonged fasting;Yes
other interventions;prophylaxis care;Yes
drug;propofol fentanyl;No
nutritional interventions;propolis;Yes
other interventions;propolis  ;Yes
other interventions;protective clothing;Yes
physical interventions;protective headgear;Yes
physical interventions;protectors;Yes
nutritional interventions;protein calorie intake;Yes
nutritional interventions;protein carbohydrate;Yes
nutritional interventions;protein diet;Yes
nutritional interventions;protein restrict diet;Yes
nutritional interventions;protein restricted;Yes
nutritional interventions;protein supplement;Yes
radiotherapy;proton;No
radiotherapy;proton therapy;No
other interventions;prunella vulgaris;Yes
other interventions;prunus armeniaca;Yes
other interventions;prunus davidiana;Yes
other interventions;prunus mandschurica;Yes
other interventions;prunus mume;Yes
other interventions;prunus persica;Yes
other interventions;prunus mume;Yes
other interventions;prunus persica;Yes
other interventions;prunus persich;Yes
other interventions;pseudaegle trifoliata;Yes
other interventions;pseudostellaria heterophylla;Yes
other interventions;psidium guajava;Yes
other interventions;psilocybin;Yes
other interventions;psorales corylifolia;Yes
psychologic interventions;psychiatric rehabilitation;Yes
psychologic interventions;psycho social care;Yes
psychologic interventions;psycho social intervention;Yes
psychologic interventions;psychoanalysis cure;Yes
psychologic interventions;psychodrama;Yes
psychologic interventions;psychodynamic psychotherapy;Yes
psychologic interventions;psychoeducational;Yes
psychologic interventions;psychoeducative health intervention;Yes
psychologic interventions;psychologic desensitization;Yes
psychologic interventions;psychological adaptation;Yes
psychologic interventions;psychological health intervention;Yes
psychologic interventions;psychological intervention;Yes
psychologic interventions;psychological support;Yes
psychologic interventions;psychological technique;Yes
psychologic interventions;psychological therapy;Yes
psychologic interventions;psychology consultation;Yes
psychologic interventions;psychology train;Yes
psychologic interventions;psychopharmacology;Yes
psychologic interventions;psychophysical;Yes
psychologic interventions;psychophysiological;Yes
psychologic interventions;psychosocial care;Yes
psychologic interventions;psychosocial counsel;Yes
psychologic interventions;psychosocial hope intervention;Yes
psychologic interventions;psychosocial intervention;Yes
psychologic interventions;psychosocial program;Yes
psychologic interventions;psychotherapeutic;Yes
psychologic interventions;psychotherapy;Yes
nutritional interventions;psyllium;Yes
other interventions;pteris multifida;Yes
other interventions;pu gong ying;Yes
other interventions;pu gua;Yes
other interventions;pu huang;Yes
other interventions;public health programme;Yes
other interventions;pueraria hirsuta;Yes
other interventions;pueraria pseudohirsua;Yes
nutritional interventions;pufa;Yes
other interventions;pulsatila chinensis;Yes
other interventions;pulsatila nuttalliana;Yes
other interventions;pulsatildaurica;Yes
other interventions;pulsatilla koreana;Yes
drug;pulse dactinomycin;No
physical interventions;punction;Yes
other interventions;punica granatum;Yes
other interventions;punicaceae;Yes
other interventions;puva therapy;Yes
other interventions;pycnogenol;Yes
other interventions;pyracantha fortuneana;Yes
drug;pyrazine diazohydroxide;No
drug;pyrazofurin;No
drug;pyrazoloacridine;No
other interventions;pyritum;Yes
other interventions;pyrrosia lingua;Yes
physical interventions;qi;Yes
physical interventions;qi gong;Yes
physical interventions;qi replenish;Yes
other interventions;qi ye shu;Yes
other interventions;qi ye yi zhi hua;Yes
other interventions;qi yeian;Yes
other interventions;qian cao;Yes
other interventions;qian ceng ta;Yes
other interventions;qian hu;Yes
other interventions;qian jin ba;Yes
other interventions;qian nian jian;Yes
other interventions;qian niu hua;Yes
other interventions;qian niu zi;Yes
other interventions;qian shi;Yes
other interventions;qiang huo;Yes
other interventions;qiao ba qi;Yes
other interventions;qiao mai;Yes
other interventions;qie zi;Yes
physical interventions;qigong;Yes
other interventions;qin jiao;Yes
other interventions;qin pi;Yes
other interventions;qing dai;Yes
other interventions;qing fan;Yes
other interventions;qing fen;Yes
other interventions;qing hao;Yes
other interventions;qing hao gen;Yes
other interventions;qing hao su;Yes
other interventions;qing long yi;Yes
other interventions;qing xiang;Yes
other interventions;qing yan;Yes
other interventions;qingjin runfei;Yes
other interventions;qingliu lianghou;Yes
other interventions;qiu jiang;Yes
other interventions;qiu yin;Yes
other interventions;qu mai;Yes
other interventions;quan shen;Yes
other interventions;quan xie;Yes
other interventions;quartz;Yes
drug;quelamycin;No
nutritional interventions;quercetin;Yes
other interventions;quisqualis indica;Yes
other interventions;quit smoke;Yes
other interventions;qun di cai;Yes
other interventions;quxie;Yes
other interventions;rabdosia rubescens;Yes
radiotherapy;radiation;No
psychologic interventions;radiesthesia;Yes
surgery;radioguided surgery;No
drug;radioiodine;No
radiotherapy;radiotherapy;No
other interventions;radix angelicae sinensis;Yes
other interventions;radix astragali;Yes
other interventions;radix hedysari;Yes
other interventions;radix patriniae scabrae;Yes
other interventions;radix salviae miltiorrhiae;Yes
drug;raltitrexed;No
drug;raltitrexed irinotecan;No
drug;raltitrexed oxaliplatin;No
drug;ranitidine;No
other interventions;ranunculus acris;Yes
other interventions;ranunculus japonicus;Yes
other interventions;ranunculus ternatus;Yes
other interventions;ranunculus zuccarinii;Yes
drug;rapamycin inhibitor everolimus;No
drug;rapecitabine;No
other interventions;rapeseed;Yes
other interventions;raphanus sativus;Yes
nutritional interventions;raw vegetable;Yes
medical examination;reactor fission neutron therapy;No
other interventions;realgar;Yes
psychologic interventions;rebirthing;Yes
nutritional interventions;recall strategy;Yes
surgery;reconstruction;No
physical interventions;records diet;Yes
physical interventions;recreation therapy;Yes
physical interventions;recreational game;Yes
other interventions;red clover;Yes
nutritional interventions;red meat;Yes
nutritional interventions;red yeast rice;Yes
nutritional interventions;reduce diet;Yes
nutritional interventions;reducing diet;Yes
physical interventions;reflex vestibulo ocular;Yes
physical interventions;reflexology intervention;Yes
physical interventions;reflexotherapy;Yes
physical interventions;regulate pi;Yes
physical interventions;regulation therapy;Yes
physical interventions;rehabilitation care;Yes
physical interventions;rehabilitation exercise;Yes
physical interventions;rehabilitation group program;Yes
physical interventions;rehabilitation intervention;Yes
physical interventions;rehabilitation program;Yes
other interventions;rehmannia glutinosa;Yes
other interventions;rehmannia lutea;Yes
physical interventions;reiki;Yes
physical interventions;reinforcement train;Yes
other interventions;reishi;Yes
physical interventions;relaxation;Yes
psychologic interventions;relaxation therapy;Yes
physical interventions;relaxing therapies;Yes
psychologic interventions;reminder credit card;Yes
psychologic interventions;reminder postcards;Yes
numerical interventions;reminder systems;Yes
psychologic interventions;reminiscence therapy;Yes
other interventions;ren dong;Yes
other interventions;ren dong teng;Yes
other interventions;ren shen;Yes
other interventions;ren shen san qi;Yes
other interventions;replens;Yes
drug;replication selective adenovirus;No
surgery;resection;No
physical interventions;resistance exercise;Yes
physical interventions;resistance train;Yes
physical interventions;resistance training;Yes
physical interventions;restraints;Yes
nutritional interventions;restriction diet;Yes
other interventions;resveratrol;Yes
other interventions;retinol;Yes
medical examination;retinoscopy;No
other interventions;reynoutria clata;Yes
other interventions;reynoutria japonica;Yes
other interventions;rhamnus cathartica;Yes
other interventions;rhamnus heterophylla;Yes
drug;rhenium 188 hdd lipiodol;No
other interventions;rheum officinale;Yes
other interventions;rheum palmatum;Yes
other interventions;rhizoma curcumae phaeocaulis;Yes
drug;rhizoxin;No
other interventions;rhodea japonica;Yes
other interventions;rhodiola;Yes
other interventions;rhodiola rosea;Yes
other interventions;rhododendri;Yes
other interventions;rhodomyrtus tomentosa;Yes
other interventions;rhubarb;Yes
other interventions;rhus laevigata;Yes
other interventions;rhus semialata;Yes
other interventions;rhus vernicifera;Yes
other interventions;ri ben chuan xiong;Yes
other interventions;ri ben mu fang ji;Yes
other interventions;ri chan bei mu;Yes
other interventions;ri chan di huang;Yes
other interventions;ri chan gao ben  ;Yes
other interventions;ri chan hou pu;Yes
other interventions;ri chan ing jie;Yes
other interventions;ri chan ku shen;Yes
other interventions;ri chan qin pi;Yes
other interventions;ri chan tu zi zi;Yes
other interventions;ri chan yan hu suo;Yes
nutritional interventions;riboflavin;Yes
other interventions;rice bran;Yes
other interventions;ricinus communis;Yes
other interventions;rieinus chinensis;Yes
other interventions;rikkunshito;Yes
psychologic interventions;risk counsel;Yes
psychologic interventions;risk reduction behavior;Yes
drug;rituximab;No
drug;rofecoxib;No
other interventions;rosa;Yes
other interventions;rosa coreanus;Yes
other interventions;rosa multiflora;Yes
other interventions;rosa rugosa;Yes
other interventions;rosaceae;Yes
other interventions;rosehip;Yes
other interventions;rosemary;Yes
drug;rosiglitazone;No
other interventions;rosmarinus;Yes
other interventions;rou cong rong;Yes
other interventions;rou dou kou;Yes
other interventions;rou gui;Yes
other interventions;ru qie;Yes
other interventions;ru xiang;Yes
other interventions;ru zhen zi;Yes
other interventions;rubia cordifolia;Yes
drug;rubitecan;No
other interventions;rubus coreanus;Yes
other interventions;rubus idaeus;Yes
other interventions;rui ren;Yes
physical interventions;rulonmeters;Yes
other interventions;rumex acetosella;Yes
other interventions;rumex japonicus;Yes
physical interventions;running;Yes
other interventions;ruscus aculeatus;Yes
other interventions;ruta graveolens;Yes
other interventions;s adenosyl l methionine;Yes
other interventions;saccharum granorum;Yes
other interventions;saccharum officinarum;Yes
nutritional interventions;safflower;Yes
other interventions;sagina saginoides;Yes
other interventions;saiga tatarica;Yes
other interventions;saiko keishi to;Yes
other interventions;salix;Yes
nutritional interventions;salmon calcitonin;Yes
other interventions;salvia chinensis;Yes
other interventions;salvia divinorum;Yes
other interventions;salvia japonica;Yes
invasive treatment;salvia miltiorrhizae composita injection;No
other interventions;salvia multiorrhiza;Yes
other interventions;salvia officinali;Yes
other interventions;salvia officinalis;Yes
other interventions;sambucus williamsii;Yes
other interventions;san huang;Yes
other interventions;san qi cao;Yes
other interventions;san yu cao;Yes
other interventions;saneng;Yes
other interventions;sang;Yes
other interventions;sang bai pi;Yes
other interventions;sang huang;Yes
other interventions;sang ji sheng;Yes
other interventions;sang piao xiao;Yes
other interventions;sang shen;Yes
other interventions;sang ye;Yes
other interventions;sanguisorba officinalis;Yes
other interventions;santalum album;Yes
other interventions;sapindus mukorossi  ;Yes
other interventions;sapium sebiferum;Yes
other interventions;saponaria vaccaria;Yes
other interventions;sarcandra glabra;Yes
other interventions;sargassum siliquastrum;Yes
other interventions;sargentodoxa cuneata;Yes
drug;sargramostim;No
other interventions;saussurea involucrate;Yes
other interventions;saussurea lappa;Yes
other interventions;saw palmetto;Yes
other interventions;saxifraga stolonifera;Yes
other interventions;scalp;Yes
other interventions;scalp cooling;Yes
surgery;scalpel;No
other interventions;schefflera arboricola;Yes
other interventions;schisandra;Yes
other interventions;schizandra arisanensis;Yes
other interventions;schizandra chinensis;Yes
other interventions;schizandra sphenanthera;Yes
other interventions;schizonepeta tenuifolia;Yes
medical examination;scintigraphy;No
other interventions;scirpus maritimus ;Yes
physical interventions;scoliometer;Yes
other interventions;scolopendra subspinipes;Yes
numerical interventions;screening education;Yes
numerical interventions;screening intervention;Yes
numerical interventions;screening mammographies;Yes
numerical interventions;screening mammography;Yes
numerical interventions;screening preferences;Yes
numerical interventions;screening promotion;Yes
numerical interventions;screening uptake;Yes
other interventions;scrophularia oldhami ;Yes
other interventions;scutellaria baicalensis;Yes
other interventions;scutellaria barbata;Yes
nutritional interventions;seafood;Yes
other interventions;secondary prevention action;Yes
other interventions;seitai;Yes
other interventions;selaginella doederleinii;Yes
nutritional interventions;selenium;Yes
other interventions;self care;Yes
other interventions;self efficacy;Yes
other interventions;self examination;Yes
psychologic interventions;self help;Yes
psychologic interventions;self hypnosis;Yes
psychologic interventions;self management;Yes
psychologic interventions;self psychology;Yes
other interventions;selinum monnieri ;Yes
other interventions;semiaquilegia adoxoides;Yes
other interventions;senecio jacobaea;Yes
other interventions;senna;Yes
other interventions;serenoa repens;Yes
other interventions;serenoa serrulata;Yes
numerical interventions;serious game;Yes
other interventions;serissa japonica;Yes
nutritional interventions;sesame oil;Yes
other interventions;sesamum indicum;Yes
drug;sevoflurane;No
other interventions;sha ge;Yes
other interventions;sha ren;Yes
other interventions;sha shen;Yes
other interventions;sha yuan zi;Yes
psychologic interventions;shamanism;Yes
other interventions;shan ci gu;Yes
other interventions;shan dao nian hao;Yes
other interventions;shan dou gen;Yes
other interventions;shan jiao;Yes
other interventions;shan jin che;Yes
other interventions;shan ma huang;Yes
other interventions;shan nai;Yes
other interventions;shan xiang;Yes
other interventions;shan yao;Yes
other interventions;shan zha;Yes
other interventions;shan zhi ma;Yes
other interventions;shan zhi zi;Yes
other interventions;shan zhu yu;Yes
other interventions;shang lu;Yes
other interventions;shark cartilage;Yes
other interventions;she chuang zi;Yes
other interventions;she gan;Yes
other interventions;she pu tao;Yes
other interventions;she tui;Yes
other interventions;she xiang;Yes
other interventions;she zu shi shan;Yes
other interventions;shen cha;Yes
other interventions;shen jin cao;Yes
other interventions;shen luo le;Yes
other interventions;shen qu;Yes
other interventions;shenfu;Yes
other interventions;sheng bai kuai;Yes
other interventions;sheng ma;Yes
other interventions;shengmai;Yes
other interventions;shenlong;Yes
invasive treatment;shenmai injection;No
other interventions;shenqi;Yes
other interventions;shenqi fanghou;Yes
invasive treatment;shenqi fuzheng injection;No
invasive treatment;shenqi injection;No
other interventions;shi cao;Yes
other interventions;shi chang pu;Yes
other interventions;shi da gongao;Yes
other interventions;shi di;Yes
other interventions;shi gao;Yes
other interventions;shi hu sui;Yes
other interventions;shi jian chuan;Yes
other interventions;shi jue ming;Yes
other interventions;shi jun zi;Yes
other interventions;shi liu;Yes
other interventions;shi shang bai;Yes
other interventions;shi suan;Yes
other interventions;shi wei;Yes
other interventions;shi zhu yu;Yes
other interventions;shi zi;Yes
physical interventions;shiatsu;Yes
nutritional interventions;shiitake;Yes
physical interventions;shingle;Yes
other interventions;shiuo;Yes
other interventions;short wave therapy;Yes
other interventions;shu chong;Yes
other interventions;shu fu;Yes
other interventions;shu gu jiang huang;Yes
other interventions;shu jin cao;Yes
other interventions;shu wei cao;Yes
other interventions;shu yang quan;Yes
other interventions;shuangbai san;Yes
other interventions;shuanghuang shengbai;Yes
other interventions;shugan liangxue;Yes
other interventions;shui chang pu;Yes
other interventions;shui fei ji;Yes
other interventions;shui hong hua zi;Yes
other interventions;shui qie;Yes
other interventions;shui xian;Yes
surgery;shunt;No
other interventions;si gua luo;Yes
physical interventions;siddha;Yes
other interventions;siddha medecine;Yes
other interventions;siegesbeckia glabrescens;Yes
other interventions;siegesbeckia orientalis;Yes
medical examination;sigmoidscopy;No
other interventions;sijunzi;Yes
other interventions;siler divaricatum;Yes
other interventions;silibinin;Yes
other interventions;silicon dioxide;Yes
other interventions;silver acetate;Yes
other interventions;silybum marianum;Yes
other interventions;silymarin;Yes
other interventions;simo;Yes
other interventions;sinapis alba;Yes
medical examination;single photon emission;No
medical examination;sinuscopy;No
other interventions;sipunculus nudus;Yes
drug;sirolimus;No
physical interventions;sivananda;Yes
drug;sizofiram;No
physical interventions;skating;Yes
physical interventions;skiing;Yes
physical interventions;skills training programme;Yes
other interventions;skimmia japonica ;Yes
other interventions;skimmia repens;Yes
physical interventions;skin heal;Yes
physical interventions;skin needle;Yes
physical interventions;skin self examination;Yes
physical interventions;skinwatch programme;Yes
psychologic interventions;sleep phase chronotherapy;Yes
numerical interventions;smartphone;Yes
other interventions;smilax china;Yes
other interventions;smilax glabra ;Yes
other interventions;smilax perfoliate;Yes
other interventions;smoke cessation;Yes
other interventions;smoking cessation;Yes
physical interventions;soccer;Yes
psychologic interventions;social support;Yes
psychologic interventions;social work;Yes
psychologic interventions;socioenvironmental therapy;Yes
other interventions;sodium borate;Yes
nutritional interventions;sodium dietary;Yes
nutritional interventions;sodium fluoride;Yes
nutritional interventions;sodium restricted;Yes
other interventions;sodium sulfate  ;Yes
other interventions;sodium tetraborate;Yes
nutritional interventions;soft diet;Yes
numerical interventions;software intervention;Yes
other interventions;sojae praeparatum;Yes
other interventions;solanum coagulans;Yes
other interventions;solanum dulcamara;Yes
other interventions;solanum lyratum;Yes
other interventions;solanum mammosum;Yes
other interventions;solanum melongena  ;Yes
other interventions;solanum torvum;Yes
other interventions;solenognathus hardwickii;Yes
other interventions;solidago decurrens;Yes
psychologic interventions;solution focus brief therapy;Yes
psychologic interventions;solution focused brief therapy;Yes
drug;somatostatin;No
other interventions;sonchus brachyotus;Yes
other interventions;song zi;Yes
other interventions;songyou yin;Yes
medical examination;sonographic;No
other interventions;sonopuncture;Yes
other interventions;sophora angustifolia;Yes
other interventions;sophora flavescens;Yes
other interventions;sophora japonica;Yes
other interventions;sophora ovata;Yes
other interventions;sophora subprostrata;Yes
psychologic interventions;sophrology;Yes
drug;sorafenib;No
nutritional interventions;sorbic acid;Yes
other interventions;sorghum;Yes
other interventions;sound bed intervention;Yes
other interventions;sound therapy;Yes
nutritional interventions;soy;Yes
nutritional interventions;soy foods;Yes
nutritional interventions;soy milk;Yes
nutritional interventions;soyasaponin i;Yes
nutritional interventions;soybean;Yes
nutritional interventions;soybeans;Yes
other interventions;sparganium stoloniferum;Yes
nutritional interventions;special diets;Yes
psychologic interventions;speech therapy;Yes
other interventions;speranskia tuberculata;Yes
other interventions;spikemoss;Yes
other interventions;spinal cord stimulation;Yes
other interventions;spinal manipulation;Yes
other interventions;spinal manipulative therapy;Yes
psychologic interventions;spiritual;Yes
psychologic interventions;spiritual therapies;Yes
psychologic interventions;spirituality;Yes
other interventions;spirodela polyrhiza;Yes
other interventions;spirulina;Yes
physical interventions;sport;Yes
physical interventions;sports;Yes
psychologic interventions;spouses;Yes
other interventions;sprout;Yes
nutritional interventions;starch supplementation;Yes
other interventions;statilia maculata;Yes
physical interventions;steam bath;Yes
other interventions;steleophaga plancyi;Yes
other interventions;stellaria dichotoma;Yes
other interventions;stellera chamaejasme;Yes
other interventions;stemmacantha uniflora;Yes
other interventions;stemona japonica;Yes
other interventions;stemona sessilifolia;Yes
medical device;stent;No
physical interventions;step care intervention;Yes
other interventions;stephania cepharantha ;Yes
other interventions;stephania tetrandra;Yes
other interventions;sterculia scaphigera;Yes
radiotherapy;stereotactic ablative radiotherapy;No
other interventions;stevia rebaudiana;Yes
physical interventions;stick therapy;Yes
other interventions;stimulation therapy;Yes
other interventions;stockings compression;Yes
physical interventions;straps;Yes
other interventions;strengthen pi;Yes
drug;streptozotocin;No
psychologic interventions;stress intervention;Yes
psychologic interventions;stress management;Yes
physical interventions;stretching;Yes
other interventions;strobilanthes affinis;Yes
nutritional interventions;struvite;Yes
other interventions;strychnos nux vomica ;Yes
other interventions;styrax tonkinensis;Yes
other interventions;su mu;Yes
other interventions;su xing hua;Yes
other interventions;suan jiao;Yes
other interventions;suan zao ren;Yes
invasive treatment;subcutaneous;No
other interventions;succinum;Yes
nutritional interventions;sulfate supplementation;Yes
other interventions;sun protection program;Yes
other interventions;sunflower oil;Yes
drug;sunitinib;No
other interventions;suo yang;Yes
drug;superfan;No
physical interventions;supervise exercise;Yes
physical interventions;supervised exercise;Yes
nutritional interventions;supplement contain;Yes
nutritional interventions;supplement food;Yes
nutritional interventions;supplement ingestion;Yes
nutritional interventions;supplement nutritional support;Yes
other interventions;supplement qi;Yes
nutritional interventions;supplemental therapy;Yes
nutritional interventions;supplementation regimen;Yes
other interventions;supplementing qi;Yes
psychologic interventions;support group;Yes
drug;suramin;No
surgery;surgery;No
other interventions;sus scrofa;Yes
physical interventions;swallow exercise;Yes
physical interventions;swedish massage;Yes
other interventions;swertia davidi;Yes
physical interventions;swim;Yes
physical interventions;swimming;Yes
other interventions;sylvaticus;Yes
nutritional interventions;symbiotic;Yes
nutritional interventions;synbiotics;Yes
other interventions;syngnathoides biaculeatus;Yes
other interventions;syngnathus acus;Yes
other interventions;syo saiko to;Yes
other interventions;syosakiko;Yes
other interventions;syringa oblata;Yes
other interventions;syringa vulgaris;Yes
other interventions;syzygium aromaticum;Yes
other interventions;syzygium polyanthum;Yes
other interventions;tabanus bivittatus;Yes
physical interventions;tai chi;Yes
physical interventions;tai ji;Yes
other interventions;tai zi shen;Yes
drug;talabostat;No
drug;talactoferrin;No
psychologic interventions;talk therapy;Yes
drug;taloxifene;No
other interventions;tamarindus indica;Yes
other interventions;tamarix chinensis;Yes
drug;tamoxifen;No
other interventions;tan hua;Yes
other interventions;tan xiang;Yes
other interventions;tanacetum parthenium;Yes
physical interventions;tantric;Yes
other interventions;tao jiao;Yes
other interventions;tao ren;Yes
numerical interventions;tape recording;Yes
psychologic interventions;tape relaxation;Yes
other interventions;taraxacum albidum;Yes
other interventions;taraxacum officinale;Yes
other interventions;taraxacum platycarpum;Yes
nutritional interventions;taurine;Yes
drug;tauromustine;No
other interventions;taxillus chinensis;Yes
drug;taxotere;No
other interventions;taxus;Yes
other interventions;taxus brevifolia;Yes
nutritional interventions;tea;Yes
other interventions;tea tree oil;Yes
numerical interventions;technological aid;Yes
drug;tegafur;No
drug;telcyta;No
numerical interventions;telecare;Yes
numerical interventions;telehealth;Yes
numerical interventions;telemedicine;Yes
numerical interventions;telephone;Yes
numerical interventions;telephone call;Yes
numerical interventions;telephone outcall program;Yes
numerical interventions;telephone session;Yes
numerical interventions;telerehabilitation;Yes
drug;teloxantrone;No
drug;temodal;No
drug;temozolomide;No
drug;temsirolimus;No
other interventions;tenebrio molitor;Yes
other interventions;teng san qi;Yes
physical interventions;tennis;Yes
other interventions;tenodera sinensis;Yes
physical interventions;tens units;Yes
drug;terameprocol;No
other interventions;terminalia catappa;Yes
other interventions;terminalia chebula;Yes
other interventions;terra flava;Yes
other interventions;tertiary prevention;Yes
drug;testosterone;No
drug;tetrathiomolybdate;No
numerical interventions;text messaging;Yes
physical interventions;thai massage;Yes
physical interventions;thalassotherapies;Yes
physical interventions;thalassotherapy;Yes
drug;thalidomide;No
other interventions;thea sinensis ;Yes
physical interventions;therapeutic breathe;Yes
psychologic interventions;therapeutic community;Yes
physical interventions;therapeutic exercise;Yes
physical interventions;therapeutic game;Yes
physical interventions;therapeutic horseback ride;Yes
physical interventions;therapeutic irrigation;Yes
physical interventions;therapeutic putty;Yes
psychologic interventions;therapeutic touch;Yes
numerical interventions;therapy computer assisted;Yes
psychologic interventions;therapy support;Yes
physical interventions;thermalism;Yes
other interventions;thiamine;Yes
drug;thiotepa;No
drug;thrombomodulin;No
drug;thrombospondin 1 mimetic angiogenesis inhibitor;No
other interventions;thunder god vine;Yes
other interventions;thyme;Yes
drug;thymopentin;No
other interventions;thymus extract;Yes
other interventions;thymus vulgaris;Yes
other interventions;tian hu su;Yes
other interventions;tian hua fen;Yes
other interventions;tian ju;Yes
other interventions;tian kui zi;Yes
other interventions;tian ma;Yes
other interventions;tian men dong;Yes
other interventions;tian ming jing;Yes
other interventions;tian nan xing;Yes
other interventions;tian san qi;Yes
other interventions;tian tai wu yao;Yes
other interventions;tian xian zi;Yes
other interventions;tiao hai long;Yes
drug;tiazofurin;No
other interventions;tibetan drug;Yes
other interventions;tibetan mdedecine;Yes
other interventions;tie xian cai;Yes
other interventions;tiepi fengdou;Yes
other interventions;ting li zi;Yes
other interventions;tinospora cordifolia;Yes
drug;tirapazamine;No
other interventions;tithonia diversifolia;Yes
drug;tiuxetan;No
other interventions;tobacco cessation;Yes
nutritional interventions;tomato;Yes
medical examination;tomography;No
drug;tomudex;No
other interventions;tong g hu;Yes
other interventions;tong hao;Yes
physical interventions;tooth brush;Yes
physical interventions;tooth brushing;Yes
drug;topifarnib;No
drug;topotecan;No
drug;toremifene;No
other interventions;torreya nucifera;Yes
drug;tositumomab;No
other interventions;tou gu cao;Yes
physical interventions;tough training;Yes
other interventions;trachelospermum jasminoides;Yes
other interventions;trachycarpus fortunei;Yes
other interventions;traditional chinese medicine;Yes
other interventions;traditional indian medicine;Yes
