,pmid,introduction,methods,resultats,conclusion
1297,18217532,"Virtual dialogue is a specific educational methodology that employs speech recognition, digital video, and computer technologies in a symbiotic relationship to allow users to have the illusion of a face-to-face conversation with a person in cyberspace. A voice-activated, interactive, virtual dialogue with a prostate cancer specialist was developed and tested in a clinical setting at the Walter Reed Army Medical Center (WRAMC).The purpose of this study was two-fold: (a) to create a prototype virtual dialogue program on the subject of prostate cancer and (b) to evaluate the effectiveness of this method to educate men about their disease and treatment.",Participants were recruited using a convenience sample of patients attending the Center for Prostate Disease Research multidisciplinary clinic at WRAMC. An automated pretest and post-test instrument was developed by the investigators to assess patients' knowledge before and after the virtual dialogue session.,A total of 33 patients volunteered for the study. Results from this convenience sample showed an increase in patients' knowledge and positive acceptance of this innovative method of patient education.,The data resulting from this study provide persuasive evidence that a virtual dialogue with a knowledgeable health professional can be a useful and highly effective method for educating men about prostate cancer. This method may also offer an effective way for health professionals to systematically provide their patients with comprehensive and reliable information.
1298,15069024,To examine the impact on general practitioners' workload of adding nurse practitioners to the general practice team.,"Randomised controlled trial with measurements before and after the introduction of nurse practitioners.34 general practices in a southern region of the Netherlands.48 general practitioners.Five nurses were randomly allocated to general practitioners to undertake specific elements of care according to agreed guidelines. The control group received no nurse.Objective workload, derived from 28 day diaries, included the number of contacts per day for each of three conditions (chronic obstructive pulmonary disease or asthma, dementia, cancer), by type of consultation (in practice, telephone, home visit), and by time of day (surgery hours, out of hours). Subjective workload was measured by using a validated questionnaire. Outcomes were measured six months before and 18 months after the intervention.","The number of contacts during surgery hours increased in the intervention group compared with the control group (P &lt; 0.06), particularly for patients with chronic obstructive pulmonary disease or asthma (P &lt; 0.01). The number of consultations out of hours declined slightly in the intervention group compared with the control group, but this difference did not reach significance. No significant changes became apparent in subjective workload.","Adding nurse practitioners to general practice teams did not reduce the workload of general practitioners, at least in the short term. This implies that nurse practitioners are used as supplements, rather than substitutes, for care given by general practitioners."
1299,17500622,"To examine the longer term efficacies of exposure to UV photographs and photoaging information (e.g., wrinkles and age spots) for increasing sun protection intentions and behaviors of young adults.","Randomized controlled trial with 4- to 5-month and 12-month follow-ups.Participants' self-reported sun protection intentions assessed immediately after the interventions, and both self-reported sun protection behaviors and an objective assessment (via spectrophotometry) of skin color change measured at the end of summer (4-5 months following interventions) and 1 year following interventions.","Both interventions resulted in immediate positive effects on future sun protection intentions. Both interventions showed objective evidence of less skin darkening at the postsummer follow-up, with those in the photoaging information condition also reporting more sun protective behavior and continuing to show less skin darkening 1 year after intervention. There was also evidence that effects of photoaging information on subsequent skin color change were mediated by the earlier positive effect photoaging information had on participants' intentions to sun protect and their subsequent sun protection behaviors.",UV photo and photoaging-information interventions each show promise as a brief and relatively inexpensive approach for motivating sun protection practices that may reduce skin cancer risk.
1300,26908432,"We investigated the effect of equivalent weight loss, by a hypocaloric diet or mainly exercise, on inflammatory markers and adipokines in overweight postmenopausal women.","Women were randomized to a diet (n = 97), mainly exercise (n = 98), or control group (n = 48). Goal of both interventions was to lose 5 to 6 kg bodyweight by a hypocaloric diet or an exercise program (4 hours/week) combined with a small caloric intake restriction. Outcomes after 16 weeks included serum high-sensitive C-reactive protein (hsCRP), IL6, adiponectin, and leptin.","Both intervention groups achieved the target weight loss. Controls remained weight stable. Compared with control, hsCRP decreased with mainly exercise [treatment effect ratio (TER) = 0.64] and borderline statistically significant with diet (TER = 0.77). There was a suggestively larger effect of exercise, directly compared with diet (TER = 0.83). Leptin decreased with both interventions: mainly exercise (TER = 0.55) and diet (TER = 0.59), versus control. Effects attenuated and lost significance after adjusting for change in body fat percentage, and to a lesser extent when adjusting for fitness. No effects were seen on IL6 and adiponectin.","A 16-week randomized intervention inducing comparable weight loss by a hypocaloric diet or mainly exercise, resulted in favorable effects on serum hsCRP and leptin. We found a possible more beneficial effect on hsCRP with mainly exercise versus diet. These effects of exercise were established by changes in body fat percentage and physical fitness.A modest amount of weight loss in postmenopausal women reduces hsCRP and leptin levels which might be associated with a lower breast cancer risk. Cancer Epidemiol Biomarkers Prev; 25(5); 799-806. \u00a92016 AACR."
1301,29349712,"Advanced therapeutic strategies are often accompanied by significant adverse effects, which warrant equally progressive countermeasures. Physical exercise has proven an effective intervention to improve physical function and reduce fatigue in patients undergoing chemotherapy. Effects of high-intensity interval training (HIIT) in this population are not well established although HIIT has proven effective in other clinical populations. The aim of the OptiTrain trial was to examine the effects of concurrent resistance and high-intensity interval training (RT-HIIT) or concurrent moderate-intensity aerobic and high-intensity interval training (AT-HIIT), to usual care (UC) on pain sensitivity and physiological outcomes in patients with breast cancer during chemotherapy.","Two hundred and forty women were randomized to 16\u00a0weeks of RT-HIIT, AT-HIIT, or UC.","cardiorespiratory fitness, muscle strength, body mass, hemoglobin levels, and pressure-pain threshold.Pre- to post-intervention, RT-HIIT (ES\u00a0=\u00a00.41) and AT-HIIT (ES\u00a0=\u00a00.42) prevented the reduced cardiorespiratory fitness found with UC. Handgrip strength (surgery side: RT-HIIT vs. UC: ES\u00a0=\u00a00.41, RT-HIIT vs. AT-HIIT: ES\u00a0=\u00a00.28; non-surgery side: RT-HIIT vs. UC: ES\u00a0=\u00a00.35, RT-HIIT vs. AT-HIIT: ES\u00a0=\u00a00.22) and lower-limb muscle strength (RT-HIIT vs. UC: ES\u00a0=\u00a00.66, RT-HIIT vs. AT-HIIT: ES\u00a0=\u00a00.23) were significantly improved in the RT-HIIT. Increases in body mass were smaller in RT-HIIT (ES\u00a0=\u00a0-\u00a00.16) and AT-HIIT (ES\u00a0=\u00a0-\u00a00.16) versus UC. RT-HIIT reported higher pressure-pain thresholds than UC (trapezius: ES\u00a0=\u00a00.46, gluteus: ES\u00a0=\u00a00.53) and AT-HIIT (trapezius: ES\u00a0=\u00a00.30).",Sixteen\u00a0weeks of RT-HIIT significantly improved muscle strength and reduced pain sensitivity. Both exercise programs were well tolerated and were equally efficient in preventing increases in body mass and in\u00a0preventing declines in cardiorespiratory fitness. These results highlight the importance of implementing a combination of resistance and high-intensity interval training during chemotherapy for women with breast cancer.
1302,8901854,"Experimental and epidemiologic investigations suggest that alpha-tocopherol (the most prevalent chemical form of vitamin E found in vegetable oils, seeds, grains, nuts, and other foods) and beta-carotene (a plant pigment and major precursor of vitamin A found in many yellow, orange, and dark-green, leafy vegetables and some fruit) might reduce the risk of cancer, particularly lung cancer. The initial findings of the Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study (ATBC Study) indicated, however, that lung cancer incidence was increased among participants who received beta-carotene as a supplement. Similar results were recently reported by the Beta-Carotene and Retinol Efficacy Trial (CARET), which tested a combination of beta-carotene and vitamin A.We examined the effects of alpha-tocopherol and beta-carotene supplementation on the incidence of lung cancer across subgroups of participants in the ATBC Study defined by base-line characteristics (e.g., age, number of cigarettes smoked, dietary or serum vitamin status, and alcohol consumption), by study compliance, and in relation to clinical factors, such as disease stage and histologic type. Our primary purpose was to determine whether the pattern of intervention effects across subgroups could facilitate further interpretation of the main ATBC Study results and shed light on potential mechanisms of action and relevance to other populations.","A total of 29,133 men aged 50-69 years who smoked five or more cigarettes daily were randomly assigned to receive alpha-tocopherol (50 mg), beta-carotene (20 mg), alpha-tocopherol and beta-carotene, or a placebo daily for 5-8 years (median, 6.1 years). Data regarding smoking and other risk factors for lung cancer and dietary factors were obtained at study entry, along with measurements of serum levels of alpha-tocopherol and beta-carotene. Incident cases of lung cancer (n = 894) were identified through the Finnish Cancer Registry and death certificates. Each lung cancer diagnosis was independently confirmed, and histology or cytology was available for 94% of the cases. Intervention effects were evaluated by use of survival analysis and proportional hazards models. All P values were derived from two-sided statistical tests.","No overall effect was observed for lung cancer from alpha-tocopherol supplementation (relative risk [RR] = 0.99; 95% confidence interval [CI] = 0.87-1.13; P = .86, logrank test). beta-Carotene supplementation was associated with increased lung cancer risk (RR = 1.16; 95% CI = 1.02-1.33; P = .02, logrank test). The beta-carotene effect appeared stronger, but not substantially different, in participants who smoked at least 20 cigarettes daily (RR = 1.25; 95% CI = 1.07-1.46) compared with those who smoked five to 19 cigarettes daily (RR = 0.97; 95% CI = 0.76-1.23) and in those with a higher alcohol intake (&gt; or = 11 g of ethanol/day [just under one drink per day]; RR = 1.35; 95% CI = 1.01-1.81) compared with those with a lower intake (RR = 1.03; 95% CI = 0.85-1.24).","Supplementation with alpha-tocopherol or beta-carotene does not prevent lung cancer in older men who smoke. beta-Carotene supplementation at pharmacologic levels may modestly increase lung cancer incidence in cigarette smokers, and this effect may be associated with heavier smoking and higher alcohol intake.While the most direct way to reduce lung cancer risk is not to smoke tobacco, smokers should avoid high-dose beta-carotene supplementation."
1303,16855125,To carry out a randomized controlled trial of a decision aid for women at increased risk of developing ovarian cancer to facilitate decision making regarding risk management options.,"This randomized trial, conducted through 6 familial cancer centers, compared the efficacy of tailored decision aid to that of a general educational pamphlet in preparing women for decision making.131 women with a family history of breast and/or ovarian cancer or of hereditary nonpolyposis colorectal cancer.Decisional conflict, knowledge about ovarian cancer risk management options, and psychological adjustment were reassessed at 3 time points.","Compared to those who received the pamphlet (control), women who received the decision aid (intervention) were significantly more likely to report a high degree of acceptability of the educational material at both follow-up assessment time points. Findings indicate neither group experienced significant increases in psychological distress at either follow-up assessment time points relative to baseline. Two weeks postintervention, the intervention group demonstrated a significant decrease in decisional conflict compared to the control group (t = 2.4, P &lt; 0.025) and a trend for a greater increase in knowledge about risk management options (t = 2.1, P = 0.037). No significant differences were found 6 months postintervention.",This form of educational material is successful in increasing knowledge about risk management options and in reducing decisional conflict in the shorter term. The decision aid is an effective and acceptable strategy for patient education to facilitate an inclusive and informed decision-making process about managing ovarian cancer risk.
1304,15159232,"Wheat bran (WB) increases fecal bulk and hastens colonic transit, whereas resistant starch (RS) has effects on colonic fermentation, including increasing concentrations of butyrate.We hypothesized that a diet combining WB with RS would produce more favorable changes in fecal variables (eg, fecal bulk, rapid transit time, lower pH, and higher butyrate) than would WB alone.","This was a randomized crossover block-design study for which 20 volunteers with a family history of colorectal cancer were recruited. The study included 3 diets: control, WB (12 g fiber/d), and WBRS (12 g WB fiber/d plus 22 g RS/d), each continued for 3 wk. In each diet, the major source of protein was lean red meat. During 5 consecutive days (days 15-19) of each dietary period, the subjects collected their total fecal output for analysis.","The WB diet resulted in greater fecal output (by 23% and 21% for wet and dry weights, respectively) and a lesser transit time (-11 h) than did the control diet but did not have major effects on fermentation variables. Compared with the control diet, the WBRS diet resulted in greater fecal output (by 56%) and a shorter transit time (-10 h), lower fecal pH (-0.15 units), higher fecal concentration (by 14%) and daily excretion (by 101%) of acetate, higher fecal concentration (by 79%) and daily excretion (by 162%) of butyrate, a higher fecal ratio of butyrate to total short-chain fatty acids (by 45%), and lower concentrations of total phenols (-34%) and ammonia (-27%).","Combining WB with RS had more benefits than did WB alone. This finding may have important implications for the dietary modulation of luminal contents, especially in the distal colon (the most common site of tumor formation)."
1305,15252435,"To demonstrate the effects of a program, directed at homecare nurses, of structured educational interventions on the management of pain and opioid-related side effects in homecare patients with cancer.","A longitudinal multilevel, randomized, controlled clinical trial.Midwestern region in the United States.202 nurses caring for patients with cancer recruited from homecare agencies.The two-tiered educational program focused on basic and advanced pain management strategies, particularly in the area of pharmacologic options and assertive communication skills. Instruments used were the Nurses' Knowledge and Attitudes Survey Regarding Pain, the barriers questionnaire, perception of control over pain, and a demographic questionnaire.Knowledge and attitudes about pain management, barriers to pain management, and perception of control over pain.","Nurses in the intervention group had a significant increase in their knowledge, a more positive attitude about pain management, fewer perceived barriers to pain management, and an increase in perceived control over pain compared to the nurses who did not receive the intervention.",The educational program Power Over Pain has beneficial effects for homecare nurses caring for patients with cancer pain.A need exists for homecare nurses to gain more insight into pain management strategies and enhance their advocacy skills to improve pain management for patients with cancer treated in the home.
1306,28105576,"Cancer-related insomnia is associated with diminished quality of life (QOL), suggesting that improvement in insomnia may improve QOL in cancer survivors. Cognitive behavioral therapy for insomnia (CBT-I) has been shown to improve insomnia, but less is known regarding its effect on QOL and whether improvement in insomnia corresponds to improved QOL. The present analysis examines the effects of CBT-I, with and without armodafinil, on QOL both directly and indirectly through improvements of insomnia.","This is an analysis of 95 cancer survivors for a specified secondary aim of a four-arm randomized controlled trial assessing the combined and individual effects of CBT-I and armodafinil to improve insomnia. QOL and insomnia severity were assessed before, during the intervention, at post-intervention, and 3\u00a0months later by Functional Assessment of Cancer Therapy-General and Insomnia Severity Index, respectively.","Mean change in QOL from pre- to post-intervention for CBT-I + placebo, CBT-I + armodafinil, armodafinil, and placebo was 9.6 (SE\u00a0=\u00a01.8; p\u00a0&lt;\u00a00.0001), 11.6 (SE\u00a0=\u00a01.8; p\u00a0&lt;\u00a00.0001), -0.2 (SE\u00a0=\u00a03.2; p\u00a0=\u00a00.964), and 3.3 (SE\u00a0=\u00a02.0; p\u00a0=\u00a00.124), respectively. ANCOVA controlling for pre-intervention scores showed that participants receiving CBT-I had significantly improved QOL at post-intervention compared to those not receiving CBT-I (p\u00a0&lt;\u00a00.0001, effect size\u00a0=\u00a00.57), with benefits being maintained at the 3-month follow-up. Path analysis revealed that this improvement in QOL was due to improvement in insomnia severity (p\u00a0=\u00a00.002), and Pearson correlations showed that changes in QOL from pre- to post-intervention were significantly associated with concurrent changes in insomnia severity (r\u00a0=\u00a0-0.56; p\u00a0&lt;\u00a00.0001). Armodafinil had no effect on QOL for those who did or did not receive it (p\u00a0=\u00a00.976; effect size\u00a0=\u00a0-0.004).","In cancer survivors with insomnia, CBT-I resulted in clinically significant improvement in QOL via improvement in insomnia. This improvement in QOL remained stable even 3\u00a0months after completing CBT-I.Considering the high prevalence of insomnia and its detrimental impact on QOL in cancer survivors and the effectiveness of CBT-I in alleviating insomnia, it is important that evidence-based non-pharmacological sleep interventions such as CBT-I be provided as an integral part of cancer care."
1307,19826172,"To assess the effect of a multimodal group exercise intervention, as an adjunct to conventional care, on fatigue, physical capacity, general wellbeing, physical activity, and quality of life in patients with cancer who were undergoing adjuvant chemotherapy or treatment for advanced disease.","Randomised controlled trial.Two university hospitals in Copenhagen, Denmark.269 patients with cancer; 73 men, 196 women, mean age 47 years (range 20-65) representing 21 diagnoses. Main exclusion criteria were brain or bone metastases. 235 patients completed follow-up.Supervised exercise comprising high intensity cardiovascular and resistance training, relaxation and body awareness training, massage, nine hours weekly for six weeks in addition to conventional care, compared with conventional care.European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC QLQ-C30), Medical Outcomes Study Short Form (MOS SF-36), Leisure Time Physical Activity Questionnaire, muscular strength (one repetition maximum), maximum oxygen consumption (Vo(2)max). Statistical methods The general linear model was used for continuous outcome while analysis of associates between categorical outcomes was performed as analysis of marginal homogeneity in contingency tables.","Adjusted for baseline score, disease, and demographic covariates, the intervention group showed an estimated improvement at six weeks for the primary outcome, fatigue, of -6.6 points (95% confidence interval -12.3 to -0.9, P=0.02; effect size=0.33, 0.04 to 0.61). Significant effects were seen on vitality (effect size 0.55, 95% CI 0.27 to 0.82), physical functioning (0.37, 0.09 to 0.65), role physical (0.37, 0.10 to 0.64), role emotional (0.32, 0.05 to 0.59), and mental health (0.28, 0.02 to 0.56) scores. Improvement was noted in physical capacity: estimated mean difference between groups for maximum oxygen consumption was 0.16 l/min (95% CI 0.1 to 0.2, P&lt;0.0001) and for muscular strength (leg press) was 29.7 kg (23.4 to 34.9, P&lt;0.0001). No significant effect was seen on global health status/quality of life.","A supervised multimodal exercise intervention including high and low intensity components was feasible and could safely be used in patients with various cancers who were receiving adjuvant chemotherapy or treatment for advanced disease. The intervention reduced fatigue and improved vitality, aerobic capacity, muscular strength, and physical and functional activity, and emotional wellbeing, but not quality of life."
1308,21885537,To determine the preventive effect of manual lymph drainage on the development of lymphoedema related to breast cancer.,"Randomised single blinded controlled trial.University Hospitals Leuven, Leuven, Belgium.160 consecutive patients with breast cancer and unilateral axillary lymph node dissection. The randomisation was stratified for body mass index (BMI) and axillary irradiation and treatment allocation was concealed. Randomisation was done independently from recruitment and treatment. Baseline characteristics were comparable between the groups.For six months the intervention group (n = 79) performed a treatment programme consisting of guidelines about the prevention of lymphoedema, exercise therapy, and manual lymph drainage. The control group (n = 81) performed the same programme without manual lymph drainage.Cumulative incidence of arm lymphoedema and time to develop arm lymphoedema, defined as an increase in arm volume of 200 mL or more in the value before surgery.","Four patients in the intervention group and two in the control group were lost to follow-up. At 12 months after surgery, the cumulative incidence rate for arm lymphoedema was comparable between the intervention group (24%) and control group (19%) (odds ratio 1.3, 95% confidence interval 0.6 to 2.9; P = 0.45). The time to develop arm lymphoedema was comparable between the two group during the first year after surgery (hazard ratio 1.3, 0.6 to 2.5; P = 0.49). The sample size calculation was based on a presumed odds ratio of 0.3, which is not included in the 95% confidence interval. This odds ratio was calculated as (presumed cumulative incidence of lymphoedema in intervention group/presumed cumulative incidence of no lymphoedema in intervention group)\u00d7(presumed cumulative incidence of no lymphoedema in control group/presumed cumulative incidence of lymphoedema in control group) or (10/90)\u00d7(70/30).",Manual lymph drainage in addition to guidelines and exercise therapy after axillary lymph node dissection for breast cancer is unlikely to have a medium to large effect in reducing the incidence of arm lymphoedema in the short term. Trial registration Netherlands Trial Register No NTR 1055.
1309,29898748,We investigated the effectiveness of one education course to lower the severity of anxiety and depression symptoms among breast cancer (BC) patients during radiotherapy (RT).,"All 290 one-sided BC patients were evenly randomized into intervention or control arm. &quot;Intervention&quot; patient was additionally provided with one three-hour course on psychological stresses and management skills. Changes of anxiety and depression score and their 3-level severity category ('normal', 'borderline' and 'abnormal' scored 0-7, 8-10 and 11-21, respectively) from HADS questionnaire over RT were evaluated by multivariable linear and ordinal logistic regressions.","Response rates were 94 and 100% by &quot;intervention&quot; and &quot;control&quot; arm, respectively. Means of score changes by &quot;intervention&quot; and &quot;control&quot; (n\u2009=\u2009145) were\u2009+\u20090.59 (SD\u2009=\u20092.47) and\u2009+\u20090.11 (SD\u2009=\u20092.55) for anxiety and\u2009+\u20090.81 (SD\u2009=\u20092.81) and\u2009+\u20090.45 (SD\u2009=\u20092.77) for depression scores, respectively. 'Abnormal' anxiety and depression patients were 4.1 and 6.9% at baseline and 4.8 and 6.9% at end of RT at 'control' arm; those rates were 6.6 and 7.4%, and 8.8 and 10.3% at 'intervention' arm, respectively. Both changes on anxiety and depression measurements between two arms were all insignificant (p\u2009&gt;\u20090.20).",One education course did not reduce the score and severity of anxiety and depression symptoms over RT period.
1310,16911897,To examine the feasibility and efficacy of St. John's Wort (SJW) for smoking cessation.,"This one-arm Phase II study utilized an exact two-stage group sequential design with a 1-week run-in period between the start of SJW treatment and the designated quit date. A total of 37 smokers (ages 18-65 years, smoking &gt; or = 10 cigarettes/day) were started on SJW. Thirteen failed to make a verified quit attempt on the predesignated date and were taken off study resulting in 24 evaluable subjects.Smokers completed clinic visits at a cancer center with interval telephone calls and mailings.Standardized SJW, 450 mg capsules taken orally twice daily along with cessation counseling messages.Subjects completed validated surveys and a focused physical examination at baseline. Evaluable subjects were defined as those subjects who made a confirmed quit attempt on their &quot;quit date&quot; 1 week following initiation of SJW. Smoking status was determined through self-report and bioverification using carbon monoxide (CO) testing.","Among evaluable subjects, the 12-week quit rate was 37.5% (9/24). Quitters had no significant change in weight from baseline to 12-weeks cessation. Use of SJW was generally well tolerated.","Based upon these results (which suggest that SJW may be effective in maintaining smoking cessation) and the high compliance and few AEs, we conclude that SJW demonstrates feasibility for use in smoking cessation. If SJW proves to be effective in larger controlled studies, it could represent a less expensive, more readily accessible and well-tolerated agent to promote tobacco cessation."
1311,25916660,"Treatment of prostate cancer with androgen deprivation therapy (ADT) is associated with an increased fat mass, decreased lean mass, increased fatigue and a reduction in quality of life (QoL). The aim of this study was to evaluate the efficacy of a 6-month dietary and physical activity intervention for prostate cancer patients receiving ADT, to help minimise these side effects.","Patients (n = 94) were recruited to this study if they were planned to receive ADT for prostate cancer for at least 6 months. Men randomised to the intervention arm received a dietary and exercise intervention, commensurate with UK healthy eating and physical activity recommendations. The primary outcome of interest was body composition; secondary outcomes included fatigue, QoL, functional capacity, stress and dietary change.","The intervention group had a significant (p &lt; 0.001) reduction in weight, body mass index and percentage fat mass compared to the control group at 6 months; the between-group differences were -3.3 kg (95% confidence interval (95% CI) -4.5, -2.1), -1.1 kg/m(2) (95% CI -1.5, -0.7) and -2.1% (95% CI -2.8, -1.4), respectively, after adjustment for baseline values. The intervention resulted in improvements in functional capacity (p &lt; 0.001) and dietary intakes but did not significantly impact fatigue, QoL or stress scores at endpoint.",A 6-month diet and physical activity intervention can minimise the adverse body composition changes associated with ADT.This study shows that a pragmatic lifestyle intervention is feasible and can have a positive impact on health behaviours and other key outcomes in men with prostate cancer receiving ADT.
1312,30376857,"Physical activity (PA) is beneficial in improving negative physical and psychological effects of cancer and cancer treatment, but adherence to PA guidelines is low. Computer-tailored PA interventions can reach large populations with little resources. They match with patients' preference for home-based, unsupervised PA programs and are thus promising for the growing population of cancer survivors. The current study assessed the efficacy of a computer-tailored PA intervention in (four subgroups of) prostate and colorectal cancer survivors.","Prostate and colorectal cancer patients and survivors were randomized to the OncoActive intervention group (N\u00a0=\u2009249), or a usual-care waiting-list control group (N\u00a0=\u2009229). OncoActive participants received a pedometer and computer-tailored PA advice, both Web-based via an interactive website and with printed materials. Minutes moderate-to-vigorous PA (MVPA) and days \u226530\u00a0min PA were assessed with an accelerometer (ActiGraph) at baseline and 6\u00a0months. Further, questionnaires were used to assess self-reported PA, fatigue, distress, and quality of life at baseline, 3 and 6\u00a0months. Differences between both groups were assessed using linear regression analyses (complete cases and intention-to-treat). In addition, efficacy in relation to age, gender, education, type of cancer, and time since treatment was examined.","Three months after baseline OncoActive participants significantly increased their self-reported PA (PA days: d\u00a0=\u20090.46; MVPA: d\u00a0=\u20090.23). Physical functioning (d\u00a0=\u20090.23) and fatigue (d\u00a0=\u2009-\u20090.21) also improved significantly after three months. Six months after baseline, self-reported PA (PA days: d\u00a0=\u20090.51; MVPA: d\u00a0=\u20090.37) and ActiGraph MVPA (d\u00a0=\u20090.27) increased significantly, and ActiGraph days (d\u00a0=\u20090.16) increased borderline significantly (p\u00a0=\u2009.05; d\u00a0=\u20090.16). Furthermore, OncoActive participants reported significantly improvements in physical functioning (d\u00a0=\u20090.14), fatigue (d\u00a0=\u2009-\u20090.23) and depression (d\u00a0=\u2009-\u20090.32). Similar results were found for intention-to-treat analyses. Higher increases in PA were found for colorectal cancer participants at 3\u00a0months, and for medium and highly educated participants' PA at 6\u00a0months. Health outcomes at 6\u00a0months were more prominent in colorectal cancer participants and in women.",The OncoActive intervention was effective at increasing PA in prostate and colorectal cancer patients and survivors. Health-related effects were especially apparent in colorectal cancer participants. The intervention provides opportunities to accelerate cancer recovery. Long-term follow-up should examine further sustainability of these effects.
1313,29402572,To measure the impact of motivational interviewing (MI) on cancer knowledge and screening practice among first degree relatives (FDRs) of patients with colon cancer.,This randomized controlled trial targeted patients with colon cancer first to recruit their possible FDRs. Digit randomization of the eligible index patients into intervention or control groups resulted in allocating their belonging FDRs to the same study arm. FDRs (n\u202f=\u202f120) in intervention arm received MI counseling on phone by a trained oncology nurse and FDRs (n\u202f=\u202f120) in control group received standard generic information by a physician on phone. Primary outcome was the rate of documented colonoscopy in FDRs within six months after the baseline.,"A total of 227 FDRs were followed up, 115 in the intervention and 112 in the control group. At follow-up, the uptake of screening colonoscopy in the intervention group was 83.5% versus 48.2% in controls (crude odds ratio, 5.4; 95% confidence interval, 2.9-10.0, P\u202f&lt;\u202f.001).",This was the first randomized controlled trial in Iran that confirmed the efficaciousness of a phone-based MI counseling in improving colonoscopy uptake among family members of patients with colon cancer.Phone-based motivational counseling that involves trained nurses or health providers seems to be feasible approach in Iran health system and enhances screening for colon cancer.
1314,29847251,Concerns have been raised about both over- and underutilization of colorectal cancer (CRC) screening in older patients and the need to align screening behavior with likelihood of net benefit.The purpose of this study was to test a novel use of a patient decision aid (PtDA) to promote appropriate CRC screening in older adults.,"A total of 424 patients ages 70 to 84 y who were not up to date with CRC screening participated in a double-blinded randomized controlled trial of a PtDA targeted to older adults making decisions about whether to undergo CRC screening from March 2012 to February 2015.Patients were randomized to a targeted PtDA or an attention control. The PtDA was designed to facilitate individualized decision making-helping patients understand the potential risks, benefits, and uncertainties of CRC screening given advanced age, health state, preferences, and values.","Two composite outcomes, appropriate CRC screening behavior 6 mo after the index visit and appropriate screening intent immediately after the visit, were defined as completed screening or intent for patients in good health, discussion about screening with their provider for patients in intermediate health, and no screening or intent for patients in poor health. Health state was determined by age and Charlson Comorbidity Index.Four hundred twelve (97%) and 421 (99%) patients were analyzed for the primary and secondary outcomes, respectively. Appropriate screening behavior at 6 mo was higher in the intervention group (55% v. 45%, P = 0.023) as was appropriate screening intent following the provider visit (61% v. 47%, P = 0.003).",The study took place in a single geographic region. The appropriate CRC screening classification system used in this study has not been formally validated.A PtDA for older adults promoted appropriate CRC screening behavior and intent.
1315,25986222,"Breast cancer chemotherapy is associated with a decline in measured cardiorespiratory fitness and increased fatigue. Physical activity has emerged as a feasible intervention to limit these side effects. Quantitative evaluation is necessary to propose a better-adapted physical activity and to evaluate efficacy.We undertook a prospective study to assess the effects of a home-based adapted physical activity (APA) program on aerobic capacity, strength, and fatigue in women treated with adjuvant or neoadjuvant chemotherapy for breast cancer versus usual care.","This was an open two-arm, randomized controlled trial.Study included outpatient groups in the Department of Physiology and Medical Oncology of a hospital in France.Forty-four patients treated with adjuvant or neoadjuvant chemotherapy for breast cancer.Patients were randomly assigned to a control group or an APA group. Intervention consisted of a 3-week, home-based, supervised, combined APA program (endurance and resistance training) during 27 weeks. The primary endpoint was cardiopulmonary function assessed by maximal peak oxygen consumption (VO2peak). Secondary endpoints included a 6-minute Walking Test (6MWT), and assessment of muscular strength, fatigue, quality of life, physical activity level, and anxiety/depression.","At 27 weeks, VO2peak increased by 1.83\u00b10.68 ml.min-1.kg-1 in the APA group (P=0.009) and decreased by 1.31\u00b10.65 mL.min-1.kg-1 in the control group (P=0.046). The difference between the two groups was not significant (2.26\u00b11.53 mL.min-1.kg-1, P=0.140) in intention-to-treat analysis, but it was significant in per protocol analysis (3.49\u00b11.64 mL.min-1.kg-1, P=0.049). At 27 and 54 weeks, no significant differences were observed between the two groups for the cardiopulmonary exercise test, 6MWT, quadriceps strength, or quality of life.","In breast cancer patients, a home-based supervised program during chemotherapy and radiotherapy treatment may be safe, feasible and increase VO2peak. In this study, heavy evaluation tests explain patient's non-adherence and do not permit to obtain statistically significant results between APA and control groups.Aerobic home-based adapted physical activity is beneficial on aerobic capacity."
1316,18230015,"Based on theories regarding cognitive representations of illness and processes of conceptual change, a representational intervention to decrease cancer pain (RIDcancerPain) was developed and its efficacy tested.","A two-group RCT (RIDcancerPain versus control) with outcome and mediating variables assessed at baseline (T1) and 1 and 2 months later (T2 and T3). Subjects were 176 adults with pain related to metastatic cancer.Outcome variables were two pain severity measures (BPI and TPQM), pain interference with life, and overall quality of life. Mediating variables were attitudinal barriers to pain management and coping (medication use).",One hundred and fifty subjects completed the study. Subjects in RIDcancerPain (T1-T2 and T1-T3) showed greater decreases in Barrier scores than those in control. Subjects in RIDcancerPain (T1-T3) showed greater decreases in pain severity than those in control. Change in Barriers scores mediated the effect of RIDcancerPain on pain severity.,RIDcancerPain was efficacious with respect to some outcomes. Further work is needed to strengthen it.
